Rk,Player,Pos,Age,Tm,FG%,3P%,TRB,AST,STL,BLK,TOV,PTS
285,Naji Marshall\marshna01,SF,24,NOP,0.311,0.125,2.8,1.1,0.4,0.2,1.0,3.5
286,Caleb Martin\martica02,SF,26,MIA,0.489,0.377,3.2,1.0,0.9,0.6,0.6,7.6
287,Cody Martin\martico01,SF,26,CHO,0.500,0.500,4.5,2.6,1.4,0.6,0.8,9.3
288,Kelan Martin\martike03,SF,26,IND,0.431,0.292,2.0,0.9,0.5,0.3,0.6,6.9
289,Kenyon Martin Jr.\martike04,SF,21,HOU,0.541,0.295,3.2,1.2,0.4,0.4,0.4,7.5
290,Garrison Mathews\mathega01,SG,25,HOU,0.428,0.362,3.5,0.6,0.7,0.4,0.4,12.3
291,Wesley Matthews\matthwe02,SG,35,MIL,0.364,0.250,1.3,0.3,0.5,0.3,0.5,2.5
292,Tyrese Maxey\maxeyty01,PG,21,PHI,0.480,0.371,3.5,4.7,0.7,0.6,1.4,17.0
293,Skylar Mays\mayssk01,SG,24,ATL,0.800,0.500,0.3,0.1,0.0,0.0,0.3,2.0
294,Miles McBride\mcbrimi01,PG,21,NYK,0.367,0.267,0.9,1.2,0.6,0.1,0.0,2.9
295,CJ McCollum\mccolcj01,SG,30,POR,0.424,0.393,4.1,4.5,1.1,0.7,1.9,20.6
296,T.J. McConnell\mccontj01,PG,29,IND,0.503,0.280,3.3,4.8,1.0,0.4,1.2,8.4
297,Jaden McDaniels\mcdanja02,PF,21,MIN,0.380,0.273,4.4,0.8,1.0,0.5,0.9,6.3
298,Jalen McDaniels\mcdanja01,SF,24,CHO,0.527,0.440,3.6,1.0,0.4,0.3,0.7,5.9
299,Doug McDermott\mcderdo01,PF,30,SAS,0.459,0.406,2.3,1.3,0.2,0.1,0.7,11.1
300,JaVale McGee\mcgeeja01,C,34,PHO,0.646,0.250,7.5,0.6,0.4,0.8,1.5,10.6
301,Rodney McGruder\mcgruro01,SG,30,DET,0.417,0.200,1.5,0.6,0.0,0.1,0.4,2.2
302,Alfonzo McKinnie\mckinal01,F,29,CHI,0.333,0.667,0.0,1.0,0.0,1.0,1.0,6.0
303,JaQuori McLaughlin\mclauja01,PG,24,DAL,0.000,,0.0,1.0,0.0,0.0,0.0,0.0
304,Jordan McLaughlin\mclaujo01,PG,25,MIN,0.295,0.200,0.9,2.1,0.6,0.0,0.7,2.2
305,Ben McLemore\mclembe01,SG,28,POR,0.433,0.412,0.9,0.7,0.3,0.0,0.6,5.6
306,De'Anthony Melton\meltode01,SG,23,MEM,0.408,0.346,4.0,2.6,1.6,0.6,1.6,10.1
307,Sam Merrill\merrisa01,SG,25,MEM,0.333,0.304,1.2,0.7,0.0,0.0,0.3,4.2
308,Chimezie Metu\metuch01,C,24,SAC,0.415,0.274,6.3,0.9,0.8,0.9,1.1,8.6
309,Khris Middleton\middlkh01,SF,30,MIL,0.412,0.351,5.7,4.9,1.1,0.1,3.1,17.8
310,Patty Mills\millspa02,PG,33,BRK,0.444,0.449,1.9,2.4,0.6,0.2,1.0,13.3
311,Paul Millsap\millspa01,PF,36,BRK,0.355,0.240,3.7,1.0,0.2,0.3,0.5,3.4
312,Shake Milton\miltosh01,PG,25,PHI,0.444,0.320,3.1,2.9,0.8,0.4,1.2,11.2
313,Davion Mitchell\mitchda01,PG,23,SAC,0.396,0.307,2.6,3.6,0.7,0.2,1.1,9.7
314,Donovan Mitchell\mitchdo01,SG,25,UTA,0.461,0.350,3.7,5.0,1.7,0.2,3.0,24.8
315,Evan Mobley\mobleev01,PF,20,CLE,0.474,0.333,8.3,2.5,0.9,1.8,1.6,13.8
316,Malik Monk\monkma01,SG,23,LAL,0.447,0.361,2.8,2.2,0.7,0.3,1.3,9.7
