	index	Rk	Player	Pos	Age	Tm	FG%	3P%	TRB	AST	STL	BLK	TOV	PTS	All Star %	Conference
299	324	325	Mike Muscala\muscami01	C	30	OKC	0.467	0.443	3.2	0.5	0.3	0.5	0.4	8.4	0.0	West
301	326	327	Abdel Nader\naderab01	SF	28	PHO	0.343	0.286	1.9	0.5	0.6	0.3	0.8	2.4	0.0	West
309	336	337	Frank Ntilikina\ntilila01	PG	23	DAL	0.349	0.333	1.5	1.2	0.6	0.1	0.5	4.0	0.0	West
311	338	339	David Nwaba\nwabada01	SF	29	HOU	0.479	0.167	3.1	0.6	0.6	0.2	0.5	4.1	0.0	West
316	343	344	Josh Okogie\okogijo01	SG	23	MIN	0.333	0.25	2.2	0.9	0.6	0.3	0.5	2.5	0.0	West
326	353	354	Eric Paschall\pascher01	PF	25	UTA	0.419	0.3	1.8	0.6	0.1	0.1	0.5	3.3	0.0	West
328	355	356	Cameron Payne\payneca01	PG	27	PHO	0.387	0.308	3.0	3.3	0.6	0.3	2.0	10.5	0.0	West
329	356	357	Elfrid Payton\paytoel01	PG	27	PHO	0.414	0.25	2.1	2.4	0.4	0.1	0.9	3.9	0.0	West
332	361	362	Aleksej Pokusevski\pokusal01	PF	20	OKC	0.338	0.2	4.3	1.2	0.5	0.5	1.2	4.5	0.0	West
334	363	364	Jordan Poole\poolejo01	SG	22	GSW	0.442	0.338	3.4	3.4	1.0	0.2	2.5	17.9	0.0	West
337	366	367	Otto Porter\porteot01	PF	28	GSW	0.444	0.402	4.7	1.0	0.8	0.3	0.6	7.5	0.0	West
343	372	373	Taurean Prince\princta02	PF	27	MIN	0.366	0.309	2.1	0.8	0.4	0.2	0.5	4.6	0.0	West
350	379	380	Davon Reed\reedda01	SG	26	DEN	0.368	0.375	3.8	1.3	1.5	0.2	0.3	3.2	0.0	West
352	381	382	Naz Reid\reidna01	C	22	MIN	0.459	0.354	3.4	0.7	0.5	0.9	1.0	8.9	0.0	West
354	384	385	Austin Rivers\riverau01	SG	29	DEN	0.346	0.271	1.4	0.8	0.5	0.1	0.6	3.9	0.0	West
357	388	389	Jeremiah Robinson-Earl\robinje02	C	21	OKC	0.412	0.333	5.7	0.8	0.5	0.3	0.9	6.9	0.0	West
362	393	394	Terry Rozier\roziete01	SG	27	CHO	0.435	0.355	3.4	3.6	1.2	0.5	1.4	17.6	0.0	West
366	397	398	Tomáš Satoranský\satorto01	SG	30	NOP	0.321	0.143	2.0	2.0	0.3	0.0	0.7	2.7	0.0	West
371	403	404	Landry Shamet\shamela01	SG	24	PHO	0.378	0.387	2.3	1.6	0.3	0.1	0.6	8.1	0.0	West
375	407	408	Anfernee Simons\simonan01	SG	22	POR	0.446	0.394	2.7	2.1	0.4	0.2	1.1	12.8	0.0	West
380	413	414	Jalen Smith\smithja04	PF	21	PHO	0.379	0.091	3.1	0.2	0.2	0.4	0.4	3.7	0.0	West
381	414	415	Tony Snell\snellto01	SG	30	POR	0.326	0.306	1.4	0.7	0.2	0.1	0.2	2.0	0.0	West
388	422	423	Garrett Temple\templga01	SG	35	NOP	0.391	0.378	2.8	1.0	0.9	0.5	0.8	5.5	0.0	West
392	428	429	JT Thor\thorjt01	PF	19	CHO	0.364	0.214	1.7	0.9	0.6	0.4	0.3	3.1	0.0	West
395	431	432	Xavier Tillman Sr.\tillmxa01	PF	23	MEM	0.454	0.222	3.2	1.4	1.2	0.5	0.7	5.3	0.0	West
407	443	444	Devin Vassell\vassede01	SF	21	SAS	0.459	0.364	3.7	1.4	1.1	0.8	0.6	11.1	0.0	West
415	451	452	Lonnie Walker\walkelo01	SG	23	SAS	0.385	0.295	2.9	2.3	0.6	0.3	1.3	10.6	0.0	West
420	457	458	Paul Watson\watsopa01	SF	27	OKC	0.133	0.154	2.4	0.6	0.2	0.6	0.6	1.4	0.0	West
425	463	464	Aaron Wiggins\wiggiaa01	SG	23	OKC	0.455	0.333	1.6	1.0	0.4	0.1	0.8	3.0	0.0	West
428	466	467	Kenrich Williams\willike04	SF	27	OKC	0.461	0.423	3.6	2.0	1.0	0.2	0.8	7.0	0.0	West
431	470	471	Ziaire Williams\willizi02	SF	20	MEM	0.354	0.246	1.5	0.6	0.4	0.3	0.6	4.7	0.0	West
433	472	473	Justise Winslow\winslju01	SF	25	LAC	0.404	0.231	2.1	1.0	0.5	0.4	0.9	2.4	0.0	West
438	478	479	Thaddeus Young\youngth01	PF	33	SAS	0.566	0.0	3.4	2.5	0.9	0.3	1.0	6.2	0.0	West
9	10	11	Giannis Antetokounmpo\antetgi01	PF	27	MIL	0.529	0.28	11.6	5.8	1.1	1.6	3.3	27.0	0.89	East
116	129	130	Kevin Durant\duranke01	PF	33	BRK	0.523	0.382	7.9	5.9	0.6	0.9	3.2	29.7	0.86	East
70	75	76	Jimmy Butler\butleji01	SF	32	MIA	0.509	0.194	5.8	5.2	2.2	0.3	1.9	22.8	0.79	East
121	134	135	Joel Embiid\embiijo01	C	27	PHI	0.445	0.369	10.9	4.3	1.1	1.3	2.6	24.3	0.79	East
387	421	422	Jayson Tatum\tatumja01	SF	23	BOS	0.423	0.339	8.6	3.6	1.0	0.8	2.8	26.2	0.76	East
102	114	115	DeMar DeRozan\derozde01	PF	32	CHI	0.498	0.333	5.3	4.1	0.9	0.4	2.0	26.4	0.68	East
439	479	480	Trae Young\youngtr01	PG	23	ATL	0.461	0.383	4.1	9.3	1.0	0.1	4.1	27.0	0.66	East
159	177	178	James Harden\hardeja01	PG	32	BRK	0.404	0.337	7.9	9.6	1.4	0.7	5.0	20.8	0.65	East
236	259	260	Zach LaVine\lavinza01	SF	26	CHI	0.49	0.391	5.3	4.2	0.5	0.3	2.7	26.0	0.63	East
32	35	36	Bradley Beal\bealbr01	SG	28	WAS	0.452	0.279	4.6	5.8	0.9	0.3	3.5	22.8	0.59	East
133	150	151	Darius Garland\garlada01	PG	22	CLE	0.467	0.389	3.0	7.4	1.3	0.1	3.8	19.0	0.44	East
365	396	397	Domantas Sabonis\sabondo01	C	25	IND	0.59	0.293	11.8	4.2	1.1	0.4	3.0	18.3	0.41	East
62	66	67	Jaylen Brown\brownja02	SF	25	BOS	0.463	0.37	5.1	2.4	1.1	0.5	2.4	21.2	0.37	East
251	275	276	Kyle Lowry\lowryky01	PG	35	MIA	0.43	0.335	4.4	7.9	1.0	0.3	3.1	13.8	0.35	East
373	405	406	Pascal Siakam\siakapa01	PF	27	TOR	0.47	0.3	7.6	3.7	0.6	0.8	2.2	19.1	0.28	East
347	376	377	Julius Randle\randlju01	PF	27	NYK	0.424	0.344	9.8	5.2	0.8	0.7	3.4	19.6	0.26	East
57	61	62	Malcolm Brogdon\brogdma01	PG	29	IND	0.448	0.313	5.5	6.2	0.9	0.4	2.3	19.7	0.24	East
409	445	446	Nikola Vučević\vucevni01	C	31	CHI	0.404	0.34	10.5	3.6	1.0	1.0	1.6	15.2	0.23	East
6	7	8	Jarrett Allen\allenja01	C	23	CLE	0.703	0.167	11.0	2.0	0.9	1.4	2.0	16.9	0.21	East
146	164	165	Jerami Grant\grantje01	PF	27	DET	0.414	0.331	4.8	2.6	1.1	1.1	2.1	20.1	0.19	East
24	27	28	Scottie Barnes\barnesc01	PF	20	TOR	0.488	0.368	8.3	3.3	1.1	1.0	1.9	15.4	0.18	East
164	182	183	Tobias Harris\harrito02	PF	29	PHI	0.459	0.299	7.7	3.4	0.3	0.6	1.6	18.5	0.18	East
175	193	194	Tyler Herro\herroty01	SG	22	MIA	0.44	0.382	5.2	3.7	0.6	0.1	3.1	20.3	0.18	East
1	2	3	Bam Adebayo\adebaba01	C	24	MIA	0.519	0.0	10.2	3.2	1.1	0.3	2.9	18.7	0.17	East
184	202	203	Al Horford\horfoal01	C	35	BOS	0.453	0.295	7.8	3.5	0.8	1.5	1.0	12.2	0.17	East
12	13	14	Cole Anthony\anthoco01	PG	21	ORL	0.417	0.366	6.1	5.6	0.8	0.2	3.0	19.9	0.16	East
406	442	443	Fred VanVleet\vanvlfr01	PG	27	TOR	0.43	0.389	5.0	6.5	1.6	0.6	3.1	19.8	0.16	East
247	271	272	Brook Lopez\lopezbr01	C	33	MIL	0.333	0.5	5.0	0.0	1.0	3.0	0.0	8.0	0.14	East
283	308	309	Khris Middleton\middlkh01	SF	30	MIL	0.412	0.351	5.7	4.9	1.1	0.1	3.1	17.8	0.14	East
132	149	150	Langston Galloway\gallola01	G	30	BRK	0.5	1.0	1.0	0.0	0.0	0.0	1.0	3.0	0.13	East
277	301	302	Alfonzo McKinnie\mckinal01	F	29	CHI	0.333	0.667	0.0	1.0	0.0	1.0	1.0	6.0	0.13	East
338	367	368	Bobby Portis\portibo01	C	26	MIL	0.473	0.402	9.0	1.4	0.9	1.0	1.6	15.6	0.13	East
167	185	186	Udonis Haslem\hasleud01	C	41	MIA	0.5	0.0	1.2	0.2	0.0	0.2	0.0	1.2	0.12	East
3	4	5	LaMarcus Aldridge\aldrila01	C	36	BRK	0.573	0.367	5.7	0.9	0.4	1.2	0.8	14.0	0.11	East
208	229	230	Jalen Johnson\johnsja05	PF	20	ATL	0.5	0.5	0.7	0.0	0.0	0.0	0.0	2.0	0.11	East
232	255	256	Kyle Kuzma\kuzmaky01	PF	26	WAS	0.42	0.344	8.0	2.9	0.6	0.7	1.9	12.8	0.11	East
180	198	199	Jrue Holiday\holidjr01	PG	31	MIL	0.476	0.369	4.4	6.5	1.4	0.5	2.5	16.4	0.1	East
268	292	293	Skylar Mays\mayssk01	SG	24	ATL	0.8	0.5	0.3	0.1	0.0	0.0	0.3	2.0	0.1	East
331	358	359	Jamorko Pickett\pickeja01	PF	24	DET	1.0	1.0	0.0	0.0	0.0	0.0	0.3	1.0	0.1	East
76	83	84	Wendell Carter Jr.\cartewe01	C	22	ORL	0.505	0.348	10.1	2.6	0.6	0.6	1.5	12.9	0.09	East
85	94	95	John Collins\collijo01	PF	24	ATL	0.557	0.402	7.8	2.1	0.7	1.3	1.0	17.1	0.09	East
109	121	122	Devon Dotson\dotsode01	PG	22	CHI	0.417	0.2	1.2	0.8	0.0	0.0	0.2	3.2	0.09	East
141	159	160	Anthony Gill\gillan01	PF	29	WAS	0.769	1.0	1.4	0.2	0.0	0.2	0.2	2.5	0.09	East
289	314	315	Evan Mobley\mobleev01	PF	20	CLE	0.474	0.333	8.3	2.5	0.9	1.8	1.6	13.8	0.09	East
417	453	454	Duane Washington Jr.\washidu02	PG	21	IND	0.5	0.333	0.3	0.0	0.0	0.0	0.0	1.7	0.09	East
19	22	23	Lonzo Ball\balllo01	PG	24	CHI	0.413	0.421	5.5	4.9	1.7	1.0	2.5	12.8	0.08	East
374	406	407	Marko Simonovic\simonma01	C	22	CHI	0.0	0.0	0.7	0.0	0.0	0.0	0.3	1.0	0.08	East
402	438	439	Myles Turner\turnemy01	C	25	IND	0.513	0.364	7.4	1.0	0.6	2.9	1.3	12.9	0.08	East
74	80	81	Clint Capela\capelca01	C	27	ATL	0.57	0.0	12.9	1.4	0.9	1.5	0.6	11.4	0.07	East
88	98	99	Sharife Cooper\coopesh01	PG	20	ATL	0.333	0.0	0.0	0.7	0.0	0.0	0.3	0.7	0.07	East
95	105	106	Cade Cunningham\cunnica01	PG	20	DET	0.388	0.321	6.2	4.5	1.4	0.6	3.8	15.9	0.07	East
96	106	107	Seth Curry\curryse01	SG	31	PHI	0.516	0.39	3.0	3.0	0.8	0.2	1.6	16.1	0.07	East
267	291	292	Tyrese Maxey\maxeyty01	PG	21	PHI	0.48	0.371	3.5	4.7	0.7	0.6	1.4	17.0	0.07	East
401	437	438	P.J. Tucker\tuckepj01	PF	36	MIA	0.503	0.456	5.7	2.1	0.7	0.3	0.9	7.6	0.07	East
434	473	474	Cassius Winston\winstca01	PG	23	WAS	0.0	0.0	0.0	1.0	0.0	0.0	0.5	1.0	0.07	East
20	23	24	Mo Bamba\bambamo01	C	23	ORL	0.457	0.324	8.6	1.7	0.8	2.2	1.4	10.3	0.06	East
172	190	191	Aaron Henry\henryaa01	SF	22	PHI	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	East
207	228	229	David Johnson\johnsda08	SG	20	TOR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	East
307	334	335	Nerlens Noel\noelne01	C	27	NYK	0.488	0.0	5.8	0.7	1.0	1.3	0.9	3.5	0.06	East
113	126	127	Andre Drummond\drumman01	C	28	PHI	0.503	0.0	9.3	1.9	1.0	1.1	1.7	6.0	0.05	East
360	391	392	Derrick Rose\rosede01	PG	33	NYK	0.445	0.402	3.0	4.0	0.8	0.5	1.5	12.0	0.05	East
404	440	441	Denzel Valentine\valende01	SG	28	CLE	0.289	0.32	1.0	0.3	0.3	0.0	0.4	1.7	0.05	East
161	179	180	Montrezl Harrell\harremo01	C	28	WAS	0.641	0.25	7.6	2.2	0.5	0.7	1.2	14.6	0.04	East
168	186	187	Sam Hauser\hausesa01	SF	24	BOS	0.333	0.333	0.7	0.0	0.3	0.0	0.0	1.0	0.04	East
173	191	192	Juan Hernangómez\hernaju01	PF	26	BOS	0.222	0.167	1.1	0.1	0.3	0.0	0.4	0.9	0.04	East
276	300	301	Rodney McGruder\mcgruro01	SG	30	DET	0.417	0.2	1.5	0.6	0.0	0.1	0.4	2.2	0.04	East
344	373	374	Payton Pritchard\pritcpa01	SG	24	BOS	0.271	0.319	1.1	1.4	0.0	0.1	0.6	2.6	0.04	East
377	410	411	Marcus Smart\smartma01	PG	27	BOS	0.378	0.273	3.9	5.6	2.1	0.3	1.9	10.7	0.04	East
393	429	430	Matisse Thybulle\thybuma01	SG	24	PHI	0.464	0.298	2.1	1.0	1.7	1.1	0.9	5.5	0.04	East
77	84	85	Alex Caruso\carusal01	SG	27	CHI	0.441	0.347	3.6	4.1	2.2	0.4	1.5	8.4	0.03	East
92	102	103	Torrey Craig\craigto01	SF	31	IND	0.486	0.278	3.1	0.8	0.4	0.3	0.6	5.0	0.03	East
118	131	132	Kessler Edwards\edwarke02	SF	21	BRK	0.519	0.462	5.0	1.0	0.8	0.0	1.0	8.5	0.03	East
147	165	166	Danny Green\greenda02	SF	34	PHI	0.415	0.383	2.7	1.2	1.4	0.8	1.0	7.0	0.03	East
220	242	243	Georgios Kalaitzakis\kalaige01	SF	23	MIL	0.455	0.5	0.9	0.0	0.1	0.1	0.4	1.8	0.03	East
248	272	273	Robin Lopez\lopezro01	C	33	ORL	0.612	0.0	3.3	1.0	0.0	0.5	0.9	6.5	0.03	East
266	290	291	Wesley Matthews\matthwe02	SG	35	MIL	0.364	0.25	1.3	0.3	0.5	0.3	0.5	2.5	0.03	East
296	321	322	Mychal Mulder\muldemy01	PG	27	ORL	0.302	0.306	1.2	0.1	0.2	0.1	0.3	3.5	0.03	East
324	351	352	Kevin Pangos\pangoke01	PG	29	CLE	0.444	0.4	0.2	0.6	0.1	0.0	0.4	1.0	0.03	East
356	386	387	Justin Robinson\robinju01	PG	24	MIL	0.316	0.27	0.8	1.2	0.5	0.0	0.6	2.8	0.03	East
391	426	427	Matt Thomas\thomama02	SG	27	CHI	0.263	0.222	0.6	0.0	0.3	0.1	0.0	1.5	0.03	East
13	14	15	OG Anunoby\anunoog01	SF	24	TOR	0.43	0.366	5.4	2.7	1.5	0.6	1.7	20.1	0.02	East
27	30	31	Charles Bassey\bassech01	PF	21	PHI	0.667	0.0	3.3	0.2	0.2	1.0	0.3	3.8	0.02	East
38	41	42	Khem Birch\birchkh01	C	29	TOR	0.5	0.0	5.7	1.3	1.0	0.5	0.6	6.9	0.02	East
47	50	51	Isaac Bonga\bongais01	SF	22	TOR	0.25	0.333	0.6	0.3	0.4	0.2	0.1	1.1	0.02	East
103	115	116	Hamidou Diallo\diallha01	SG	23	DET	0.542	0.273	2.9	0.8	0.6	0.5	0.6	7.2	0.02	East
155	173	174	Quentin Grimes\grimequ01	SG	21	NYK	0.447	0.469	0.9	0.4	0.2	0.1	0.6	3.6	0.02	East
204	225	226	Isaiah Joe\joeis01	SG	22	PHI	0.333	0.333	1.2	0.8	0.2	0.1	0.4	3.6	0.02	East
205	226	227	Alize Johnson\johnsal02	PF	25	CHI	0.522	0.0	2.3	0.5	0.2	0.0	0.5	1.8	0.02	East
214	235	236	Derrick Jones Jr.\jonesde02	PF	24	CHI	0.586	0.32	3.5	0.5	0.5	1.0	0.5	7.0	0.02	East
241	264	265	Caris LeVert\leverca01	SG	27	IND	0.44	0.298	2.7	3.3	1.0	0.5	1.7	16.3	0.02	East
250	274	275	Kevin Love\loveke01	PF	33	CLE	0.427	0.412	7.1	1.9	0.2	0.3	1.2	12.0	0.02	East
261	285	286	Caleb Martin\martica02	SF	26	MIA	0.489	0.377	3.2	1.0	0.9	0.6	0.6	7.6	0.02	East
351	380	381	Paul Reed\reedpa01	C	22	PHI	0.486	0.0	2.5	0.5	0.6	0.6	0.4	2.4	0.02	East
363	394	395	Ricky Rubio\rubiori01	PG	31	CLE	0.358	0.34	3.9	6.5	1.3	0.1	2.6	12.6	0.02	East
396	432	433	Isaiah Todd\toddis01	PF	20	WAS	0.4	0.571	0.4	0.0	0.4	0.2	0.2	2.6	0.02	East
427	465	466	Grant Williams\willigr01	PF	23	BOS	0.511	0.453	3.4	1.0	0.4	0.6	0.6	7.5	0.02	East
440	480	481	Omer Yurtseven\yurtsom01	C	23	MIA	0.521	0.0	2.1	0.5	0.1	0.5	0.4	3.1	0.02	East
10	11	12	Thanasis Antetokounmpo\antetth01	SF	29	MIL	0.478	0.0	3.1	0.8	0.5	0.2	0.6	3.5	0.01	East
34	37	38	DeAndre' Bembry\bembrde01	SF	27	BRK	0.568	0.409	3.3	1.1	0.9	0.5	0.7	5.6	0.01	East
37	40	41	Saddiq Bey\beysa01	SF	22	DET	0.354	0.299	6.0	2.4	1.0	0.1	1.4	12.5	0.01	East
53	57	58	Ignas Brazdeikis\brazdig01	SF	23	ORL	0.258	0.167	1.4	0.5	0.2	0.0	0.2	1.8	0.01	East
56	60	61	Oshae Brissett\brissos01	SF	23	IND	0.473	0.37	3.2	0.6	0.6	0.2	0.8	5.3	0.01	East
87	96	97	Pat Connaughton\connapa01	SG	29	MIL	0.506	0.434	4.7	1.3	1.0	0.3	0.7	12.5	0.01	East
101	112	113	Dewayne Dedmon\dedmode01	C	32	MIA	0.571	0.6	6.2	0.9	0.4	0.4	0.9	6.3	0.01	East
105	117	118	Spencer Dinwiddie\dinwisp01	PG	28	WAS	0.387	0.328	4.9	5.1	0.4	0.2	1.6	12.8	0.01	East
108	120	121	Ayo Dosunmu\dosunay01	SG	22	CHI	0.504	0.415	2.1	1.2	0.4	0.2	0.8	6.0	0.01	East
125	141	142	Malachi Flynn\flynnma01	PG	23	TOR	0.375	0.29	1.2	0.9	0.5	0.1	0.3	3.1	0.01	East
138	156	157	Taj Gibson\gibsota01	C	36	NYK	0.425	0.143	4.5	0.7	0.4	1.1	0.9	3.4	0.01	East
151	169	170	Javonte Green\greenja02	SF	28	CHI	0.495	0.385	4.3	0.7	0.8	0.3	0.7	5.4	0.01	East
177	195	196	George Hill\hillge01	SG	35	MIL	0.438	0.324	3.5	2.5	0.8	0.1	1.2	7.5	0.01	East
189	207	208	Kevin Huerter\huertke01	SG	23	ATL	0.467	0.384	3.3	2.6	0.4	0.3	1.3	10.7	0.01	East
245	269	270	Isaiah Livers\liveris01	F	23	DET	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.01	East
269	293	294	Miles McBride\mcbrimi01	PG	21	NYK	0.367	0.267	0.9	1.2	0.6	0.1	0.0	2.9	0.01	East
271	295	296	T.J. McConnell\mccontj01	PG	29	IND	0.503	0.28	3.3	4.8	1.0	0.4	1.2	8.4	0.01	East
325	352	353	Jabari Parker\parkeja01	PF	26	BOS	0.519	0.556	2.2	0.4	0.3	0.1	0.6	4.6	0.01	East
370	402	403	Collin Sexton\sextoco01	SG	23	CLE	0.45	0.244	3.3	2.1	0.9	0.0	2.8	16.0	0.01	East
372	404	405	Day'Ron Sharpe\sharpda01	PF	20	BRK	0.591	0.333	2.9	0.0	0.2	0.3	0.8	3.1	0.01	East
385	419	420	Jalen Suggs\suggsja01	PG	20	ORL	0.339	0.255	3.4	3.6	1.1	0.4	3.2	12.3	0.01	East
397	433	434	Obi Toppin\toppiob01	PF	23	NYK	0.53	0.196	3.9	0.9	0.3	0.6	0.9	8.7	0.01	East
400	436	437	Gary Trent Jr.\trentga02	SG	23	TOR	0.433	0.383	3.2	2.0	2.1	0.3	0.9	17.0	0.01	East
411	447	448	Franz Wagner\wagnefr01	SF	20	ORL	0.449	0.38	4.5	2.8	1.1	0.4	1.3	14.1	0.01	East
430	468	469	Patrick Williams\willipa01	PF	20	CHI	0.565	0.5	2.2	0.6	0.6	0.4	0.4	6.6	0.01	East
0	0	1	Precious Achiuwa\achiupr01	C	22	TOR	0.386	0.269	8.2	1.6	0.5	0.6	1.1	8.0	0.0	East
5	6	7	Grayson Allen\allengr01	SG	26	MIL	0.435	0.407	3.6	1.3	0.7	0.3	0.7	12.7	0.0	East
15	16	17	Deni Avdija\avdijde01	SF	21	WAS	0.435	0.308	4.8	1.3	0.7	0.7	0.7	6.6	0.0	East
22	25	26	Dalano Banton\bantoda01	SF	22	TOR	0.458	0.3	2.3	1.8	0.4	0.2	1.0	4.1	0.0	East
25	28	29	RJ Barrett\barrerj01	SF	21	NYK	0.402	0.353	5.6	2.1	0.4	0.3	1.7	15.1	0.0	East
35	38	39	Dāvis Bertāns\bertada01	PF	29	WAS	0.336	0.302	1.9	0.5	0.4	0.2	0.4	6.0	0.0	East
39	42	43	Goga Bitadze\bitadgo01	C	22	IND	0.294	0.154	2.3	0.2	0.6	0.6	0.3	2.5	0.0	East
43	46	47	Bogdan Bogdanović\bogdabo01	SG	29	ATL	0.447	0.391	3.6	2.5	0.7	0.2	0.9	11.6	0.0	East
50	53	54	Chris Boucher\bouchch01	PF	29	TOR	0.429	0.212	4.5	0.3	0.4	0.9	0.7	7.3	0.0	East
60	64	65	Bruce Brown\brownbr01	SF	25	BRK	0.468	0.32	4.3	1.1	1.3	0.4	0.6	6.9	0.0	East
64	69	70	Troy Brown Jr.\browntr01	SF	22	CHI	0.411	0.267	2.5	0.8	0.3	0.1	0.4	4.3	0.0	East
68	73	74	Alec Burks\burksal01	SG	30	NYK	0.388	0.4	3.9	2.1	1.1	0.3	0.8	11.4	0.0	East
71	77	78	Kentavious Caldwell-Pope\caldwke01	SG	28	WAS	0.415	0.381	3.5	1.6	1.3	0.4	1.2	11.0	0.0	East
75	82	83	Jevon Carter\carteje01	PG	26	BRK	0.276	0.305	1.5	1.1	0.3	0.3	0.4	2.3	0.0	East
79	86	87	Justin Champagnie\champju01	SF	20	TOR	0.444	0.0	1.4	0.1	0.1	0.1	0.0	2.2	0.0	East
90	100	101	DeMarcus Cousins\couside01	C	31	MIL	0.333	0.231	4.0	1.0	0.7	0.1	1.1	4.4	0.0	East
104	116	117	Gorgui Dieng\dienggo01	C	32	ATL	0.438	0.375	3.2	0.7	0.3	0.3	0.6	2.7	0.0	East
112	125	126	Goran Dragić\dragigo01	PG	35	TOR	0.382	0.286	2.8	1.8	1.0	0.2	0.2	8.0	0.0	East
114	127	128	Chris Duarte\duartch01	SG	24	IND	0.42	0.34	4.2	2.1	1.0	0.1	1.7	12.9	0.0	East
115	128	129	David Duke\dukeda01	G	22	BRK	0.313	0.1	5.5	1.5	1.0	0.5	0.5	6.3	0.0	East
128	144	145	Evan Fournier\fournev01	SG	29	NYK	0.414	0.372	2.7	1.7	0.9	0.2	1.3	12.4	0.0	East
130	146	147	Enes Freedom\kanteen01	C	29	BOS	0.466	0.333	5.2	0.2	0.2	0.5	0.6	4.1	0.0	East
131	148	149	Danilo Gallinari\gallida01	PF	33	ATL	0.425	0.421	4.0	1.4	0.5	0.2	0.5	9.6	0.0	East
135	153	154	Luka Garza\garzalu01	C	23	DET	0.422	0.375	2.1	0.5	0.4	0.1	0.5	3.7	0.0	East
154	172	173	Blake Griffin\griffbl01	PF	32	BRK	0.358	0.182	4.9	2.0	0.5	0.5	0.5	6.2	0.0	East
157	175	176	R.J. Hampton\hamptrj01	SG	20	ORL	0.398	0.417	2.8	2.3	0.5	0.1	1.5	7.4	0.0	East
162	180	181	Gary Harris\harriga01	SG	27	ORL	0.436	0.316	2.4	1.6	0.6	0.1	1.1	8.1	0.0	East
163	181	182	Joe Harris\harrijo01	SF	30	BRK	0.452	0.466	4.0	1.0	0.5	0.1	1.1	11.3	0.0	East
170	188	189	Killian Hayes\hayeski01	PG	20	DET	0.333	0.339	3.3	3.5	1.1	0.5	1.5	6.1	0.0	East
178	196	197	Solomon Hill\hillso01	PF	30	ATL	0.15	0.154	1.8	0.9	0.3	0.2	0.1	0.6	0.0	East
179	197	198	Aaron Holiday\holidaa01	PG	25	WAS	0.474	0.357	1.7	1.8	0.6	0.3	1.0	6.1	0.0	East
181	199	200	Justin Holiday\holidju01	SF	32	IND	0.394	0.353	2.8	1.6	0.5	0.3	0.8	10.0	0.0	East
183	201	202	Rodney Hood\hoodro01	SF	29	MIL	0.372	0.327	2.0	0.8	0.3	0.0	0.1	3.7	0.0	East
192	210	211	De'Andre Hunter\huntede01	SF	24	ATL	0.45	0.395	2.7	0.6	0.6	0.3	1.3	10.8	0.0	East
198	217	218	Frank Jackson\jacksfr01	PG	23	DET	0.413	0.342	1.4	0.9	0.5	0.2	0.9	10.6	0.0	East
200	220	221	Josh Jackson\jacksjo02	SF	24	DET	0.406	0.29	3.1	1.6	0.4	0.4	1.0	6.7	0.0	East
209	230	231	James Johnson\johnsja01	PF	34	BRK	0.481	0.313	3.9	1.9	0.5	0.4	0.6	4.8	0.0	East
219	241	242	Cory Joseph\josepco01	PG	30	DET	0.424	0.3	1.8	3.5	0.8	0.2	1.5	6.2	0.0	East
224	246	247	Corey Kispert\kispeco01	SF	22	WAS	0.409	0.264	1.8	0.6	0.3	0.2	0.3	3.9	0.0	East
227	249	250	Kevin Knox\knoxke01	SF	22	NYK	0.385	0.421	1.8	0.4	0.3	0.0	0.3	4.1	0.0	East
229	251	252	Furkan Korkmaz\korkmfu01	SG	24	PHI	0.374	0.295	2.9	2.4	0.6	0.1	0.9	8.4	0.0	East
233	256	257	Jeremy Lamb\lambje01	SF	29	IND	0.363	0.343	2.4	1.3	0.5	0.3	0.5	6.8	0.0	East
235	258	259	Romeo Langford\langfro01	SG	22	BOS	0.424	0.39	3.2	0.6	0.4	0.2	0.5	5.0	0.0	East
239	262	263	Saben Lee\leesa01	PG	22	DET	0.4	0.231	2.1	2.3	1.3	0.3	0.8	5.6	0.0	East
252	276	277	Timothé Luwawu-Cabarrot\luwawti01	SF	26	ATL	0.378	0.375	1.4	0.6	0.3	0.1	0.2	3.9	0.0	East
253	277	278	Trey Lyles\lylestr01	PF	26	DET	0.423	0.3	4.1	0.8	0.3	0.1	0.9	7.6	0.0	East
255	279	280	Sandro Mamukelashvili\mamuksa01	PF	22	MIL	0.432	0.357	2.2	0.5	0.1	0.1	0.2	2.6	0.0	East
259	283	284	Lauri Markkanen\markkla01	PF	24	CLE	0.422	0.348	5.2	1.3	0.8	0.4	0.8	14.0	0.0	East
263	287	288	Kelan Martin\martike03	SF	26	IND	0.431	0.292	2.0	0.9	0.5	0.3	0.6	6.9	0.0	East
284	309	310	Patty Mills\millspa02	PG	33	BRK	0.444	0.449	1.9	2.4	0.6	0.2	1.0	13.3	0.0	East
285	310	311	Paul Millsap\millspa01	PF	36	BRK	0.355	0.24	3.7	1.0	0.2	0.3	0.5	3.4	0.0	East
286	311	312	Shake Milton\miltosh01	PG	25	PHI	0.444	0.32	3.1	2.9	0.8	0.4	1.2	11.2	0.0	East
