	index	Rk	Player	Pos	Age	Tm	FG%	3P%	TRB	AST	STL	BLK	TOV	PTS	All Star %	Conference
100	111	112	Gabriel Deck\deckga01	PF	26	OKC	0.5	0.333	0.8	0.5	0.2	0.0	0.3	2.2	0.08	West
230	252	253	Vit Krejci\krejcvi01	SG	21	OKC	0.0	0.0	1.0	0.0	0.0	0.0	0.3	0.7	0.08	West
234	257	258	Jock Landale\landajo01	C	26	SAS	0.667	0.4	0.6	0.3	0.0	0.2	0.2	2.4	0.08	West
249	273	274	Didi Louzada\louzama01	SF	22	NOP	0.0	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.08	West
333	362	363	Yves Pons\ponsyv01	SF	22	MEM	0.333	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.08	West
26	29	30	Will Barton\bartowi01	SG	31	DEN	0.443	0.382	5.0	4.2	0.9	0.4	1.8	16.0	0.07	West
29	32	33	Nicolas Batum\batumni01	PF	33	LAC	0.515	0.432	5.2	1.5	1.1	0.8	0.8	9.1	0.07	West
187	205	206	Dwight Howard\howardw01	C	36	LAL	0.625	0.75	5.4	0.5	0.8	0.7	0.9	5.0	0.07	West
310	337	338	Jusuf Nurkić\nurkiju01	C	27	POR	0.574	0.217	10.3	2.4	1.1	0.5	2.1	13.4	0.07	West
67	72	73	Trey Burke\burketr01	PG	29	DAL	0.461	0.395	1.1	1.9	0.4	0.0	0.9	7.7	0.06	West
126	142	143	Bryn Forbes\forbebr01	SG	28	SAS	0.465	0.43	1.2	0.7	0.4	0.0	0.9	7.9	0.06	West
191	209	210	Elijah Hughes\hugheel01	SF	23	UTA	0.0	0.0	0.2	0.0	0.0	0.0	0.2	0.3	0.06	West
226	248	249	Nathan Knight\knighna01	PF	24	MIN	0.625	0.0	1.2	0.3	0.1	0.2	0.3	1.9	0.06	West
275	299	300	JaVale McGee\mcgeeja01	C	34	PHO	0.646	0.25	7.5	0.6	0.4	0.8	1.5	10.6	0.06	West
321	348	349	Miye Oni\onimi01	SG	24	UTA	0.286	0.167	0.4	0.4	0.0	0.0	0.1	0.4	0.06	West
346	375	376	Jahmi'us Ramsey\ramseja01	SG	20	SAC	0.357	0.167	0.0	0.3	0.0	0.1	0.0	1.9	0.06	West
81	88	89	Josh Christopher\chrisjo01	SG	20	HOU	0.484	0.438	1.3	1.2	0.7	0.0	1.0	5.6	0.05	West
190	208	209	Jay Huff\huffja01	C	23	LAL	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.05	West
